state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,2
California,2
Colorado,1
Connecticut,1
Delaware,0
Florida,1
Georgia,1
Hawaii,1
Iowa,1
Idaho,1
Illinois,1
Indiana,1
Kansas,1
Kentucky,2
Louisiana,2
Maine,1
Maryland,1
Massachusetts,1
Michigan,2
Minnesota,1
Missouri,0
Mississippi,0
Montana,1
North Carolina,0
North Dakota,2
Nebraska,2
New Hampshire,1
New Jersey,0
New Mexico,1
Nevada,1
New York,2
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,1
Virginia,0
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,1
